name,handle
Dryden Hunt,@huntsy22
Tj Oshie,@TJOshie77
Jack Eichel,@Jackeichel15
Trevor Van Riemsdyk,@TvanRiemsdyk6
Taylor Hall,@hallsy09
Colton Sissons,@colton_es15
Sam Steel,@ssteel23
Damon Severson,@dseves7
Steven Stamkos,@RealStamkos91
Nathan Mackinnon,@Mackinnon9
Mitchell Marner,@Marner93
James Van Riemsdyk,@JVReemer21
Eric Fehr,@EricFehr
Tyler Johnson,@tjohnny09
Frederik Andersen,@f_andersen30
Keith Kinkaid,@Blockaid1
Malcolm Subban,@Subbz3r0
Jacob Weisberg,@jacobwe
Meghan Peters,@petersmeg
Andrew Ross Sorkin,@andrewrsorkin
Greg Mitchell,@GregMitch
Ann Curry,@AnnCurry
Lauren Indvik,@laureni
Zach Seward,@zseward
Katie Couric,@katiecouric
Veronica De La Cruz,@VeronicaDLCruz
Nicholas Kristof,@NickKristof
Vadim Lavrusik,@Lavrusik
Nieman Lab,@NiemanLab
Aron Pilhofer,@pilhofer
Romenesko,@romenesko
Jay Rosen,@jayrosen_nyu
Brian Boyer,@brianboyer
Andrew Malcolm,@AHMalcolm
Sree Sreenivasan,@sree
LeslieJean Thornton,@ljthornton
Dan Gillmor,@dangillmor
Walt Mossberg,@waltmossberg
Adam Ostrow,@adamostrow
Nathan Gibbs,@nathangibbs
John Dickerson,@jdickerson
Peter Shankman,@petershankman
Ken Sands,@kensands
Will Sullivan,@WillSullivan
Mathew Ingram,@mathewi
Paul Bradshaw,@paulbradshaw
Jacob Harris,@harrisj
Comfortably Smug,@comfortablysmug
Megan Twohey,@mega2e
Linda Qiu,@YLindaQiu
Steve Kenny,@nytstevek
Ar Isaacman Bevacqua,@Ari_NYT
Nicholas Fandos,@npfandos
Alicia Parlapiano,@aliciaparlap
Nate Cohn,@Nate_Cohn
Thomas GibbonsNeff,@Tmgneff
Eric Lipton,@EricLiptonNYT
Margot SangerKatz,@sangerkatz
Adam Nagourney,@adamnagourney
Gardiner Harris,@GardinerHarris
Michael Tackett,@tackettdc
Michael Barbaro,@mikiebarb
Lara Jakes,@jakesNYT
Thomas Kaplan,@thomaskaplan
Emily Bazelon,@emilybazelon
Mike Mcintire,@mmcintire
Stephen Crowley,@Stcrow
Erica L Green,@EricaLG
Jonathan Weisman,@jonathanweisman
Adam Goldman,@adamgoldmanNYT
Michael M Grynbaum,@grynbaum
Jake Tapper ,@jaketapper
Jim Acosta,@acosta
Oliver Darcy,@oliverdarcy
John King,@johnkingcnn
Anderson Cooper,@andersoncooper
Brian Stelter,@brianstelter
Don Lemon,@donlemon
Midland,@MidlandOfficial
Dan  Shay,@DanAndShay
Gabby Barrett,@GabbyBarrett_
Maddie  Tae,@MaddieandTae
Brothers Osborne,@brothersosborne
Caylee Hammack,@Cayleehammack
Hillary Scott,@HillaryScottLA
Morgan Wallen,@MorganWallen
Carrie Underwood,@carrieunderwood
Old Dominion,@OldDominion
Hozier,@Hozier
Ingrid Andress,@IngridAndress
Tenille Townes,@tenilletownes
Florida Georgia Line,@FLAGALine
Jon Pardi,@JonPardi
Jenee Fleenor,@JeneeMusic
Ashley Mcbryde,@AshleyMcBryde
Thomas Rhett,@ThomasRhett
Luke Combs ,@lukecombs
Jimmie Allen,@JimmieAllen
Chris Stapleton,@ChrisStapleton
Chris Tomlin,@christomlin
Reba,@reba
Miranda Lambert,@mirandalambert
K A C E Y,@KaceyMusgraves
Justin Bieber,@justinbieber
Little Big Town,@littlebigtown
Charlie Daniels,@CharlieDaniels
Carly Pearce,@carlypearce
Jake Owen,@jakeowen
Maren Morris,@MarenMorris
Lee Brice,@leebrice
Eric Church,@ericchurch
Darius Rucker,@dariusrucker
Charlie Puth,@charlieputh
Lady A,@ladya
Brooks  Dunn,@BrooksAndDunn
Jason Aldean,@Jason_Aldean
Dierks Bentley,@DierksBentley
Keith Urban,@KeithUrban
Elle King,@ElleKingMusic
Rascal Flatts,@rascalflatts
Carrie Underwood,@carrieunderwood
George Strait,@GeorgeStrait
Alabama,@TheAlabamaBand
Ronnie Milsap,@ronniemilsap
Vince Gill,@VGcom
Alan Jackson,@OfficialJackson
Brad Paisley,@BradPaisley
Reba,@reba
Miranda Lambert,@mirandalambert
K A C E Y,@KaceyMusgraves
Joseph Kahn,@JosephKahn
Shane Mcanally,@shanemcanally
Little Big Town,@littlebigtown
Brett Eldredge,@bretteldredge
Tim Mcgraw,@TheTimMcGraw
Eric Church,@ericchurch
Darius Rucker,@dariusrucker
Luke Bryan,@LukeBryanOnline
Randy Travis,@randytravis
Willie Nelson,@WillieNelson
Lady A,@ladya
Brooks  Dunn,@BrooksAndDunn
Blake Shelton,@blakeshelton
Jason Aldean,@Jason_Aldean
Faith Hill,@FaithHill
Dolly Parton,@DollyParton
Dierks Bentley,@DierksBentley
Keith Urban,@KeithUrban
Martina Mcbride,@martinamcbride
Trisha Yearwood,@trishayearwood
Rascal Flatts,@rascalflatts
Kawhi Leonard,@kawhileonard
Klay Thompson,@KlayThompson
Tyson Chandler,@tysonchandler
Derek Fisher,@derekfisher
Jason Thompson,@jtthekid
Shaq,@SHAQ
Michael Stewart,@bigyog4
Dwight Howard,@DwightHoward
Kevin Johnson,@KJ_MayorJohnson
Chris Bosh,@chrisbosh
